drawNumber,drawDate,drawDateFull,drawDateTime,drawName,drawSizeStr,drawSizeNum,drawCRS
321,2024-10-23,"October 23, 2024","October 23, 2024 at 14:48:28 UTC",Trade occupations (Version 1),"1,800",1800,433
320,2024-10-22,"October 22, 2024","October 22, 2024 at 14:07:18 UTC",Canadian Experience Class,400,400,539
319,2024-10-21,"October 21, 2024","October 21, 2024 at 15:12:14 UTC",Provincial Nominee Program,648,648,791
318,2024-10-10,"October 10, 2024","October 10, 2024 at 15:45:35 UTC",French language proficiency (Version 1),"1,000",1000,444
317,2024-10-09,"October 9, 2024","October 09, 2024 at 14:22:23 UTC",Canadian Experience Class,500,500,539
316,2024-10-07,"October 7, 2024","October 7, 2024 at 15:02:50 UTC",Provincial Nominee Program,"1,613",1613,743
315,2024-09-19,"September 19, 2024","September 19, 2024 at 13:12:22 UTC",Canadian Experience Class,"4,000",4000,509
314,2024-09-13,"September 13, 2024","September 13, 2024 at 13:38:58 UTC",French language proficiency (Version 1),"1,000",1000,446
313,2024-09-09,"September 9, 2024","September 09, 2024 at 15:42:40 UTC",Provincial Nominee Program,911,911,732
312,2024-08-27,"August 27, 2024","August 27, 2024 at 17:44:02 UTC",Canadian Experience Class,"3,300",3300,507
311,2024-08-26,"August 26, 2024","August 26, 2024 at 14:46:49 UTC",Provincial Nominee Program,"1,121",1121,694
310,2024-08-15,"August 15, 2024","August 15, 2024 at 2024-08-15 15:11:54 UTC",French language proficiency (Version 1),"2,000",2000,394
309,2024-08-14,"August 14, 2024","August 14, 2024 at 14:04:45 UTC",Canadian Experience Class,"3,200",3200,509
308,2024-08-13,"August 13, 2024","August 13, 2024 at 14:57:21 UTC",Provincial Nominee Program,763,763,690
307,2024-07-31,"July 31, 2024","July 31, 2024 at 14:48:13 UTC",Canadian Experience Class,"5,000",5000,510
306,2024-07-30,"July 30, 2024","July 30, 2024 at 15:25:21 UTC",Provincial Nominee Program,964,964,686
305,2024-07-18,"July 18, 2024","July 18, 2024 at 14:58:28 UTC",French language proficiency (Version 1),"1,800",1800,400
304,2024-07-17,"July 17, 2024","July 17, 2024 at 16:17:31 UTC",Canadian Experience Class,"6,300",6300,515
303,2024-07-16,"July 16, 2024","July 16, 2024 at 15:39:40 UTC",Provincial Nominee Program,"1,391",1391,670
302,2024-07-08,"July 8, 2024","July 08, 2024 at 14:01:33 UTC",French language proficiency (Version 1),"3,200",3200,420
301,2024-07-05,"July 5, 2024","July 05, 2024 at 16:03:12 UTC",Healthcare occupations (Version 1),"3,750",3750,445
300,2024-07-04,"July 4, 2024","July 4, 2024 at 13:30:48 UTC",Trade occupations (Version 1),"1,800",1800,436
299,2024-07-02,"July 2, 2024","July 2, 2024 at 15:12:05 UTC",Provincial Nominee Program,920,920,739
298,2024-06-19,"June 19, 2024","June 19, 2024 at 14:37:26 UTC",Provincial Nominee Program,"1,499",1499,663
297,2024-05-31,"May 31, 2024","May 31, 2024 at12:48:30 UTC",Canadian Experience Class,"3,000",3000,522
296,2024-05-30,"May 30, 2024","May 30, 2024 at 14:59:31 UTC",Provincial Nominee Program,"2,985",2985,676
